procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  2      0 1510844      0 13620472    0    0     0 467064 3199  637  0  2 97  1  0  0
 1  2      0 1037112      0 14094421    0    0     0 467128 3304  887  0  2 97  1  0  0
 2  1      0 554552      0 14577015    0    0     0 466948 3221  666  0  2 97  1  0  0
 1  1      0  76600      0 15054739    0    0     0 466948 3152  641  0  2 97  1  0  0
 0  2      0   1280      0 15130141    0    0     0 466948 3303 1136  0  2 97  1  0  0
 1  1      0   3072      0 15128499    0    0     0 467064 3289 1196  0  2 97  1  0  0
 2  0      0    768      0 15130766    0    0     0 458844 3268 1075  0  2 97  1  0  0
 1  1      0   3072      0 15128190    0    0     0 466948 3231 1062  0  2 97  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0    256      0 15131409    0    0     0 467104 3293 1089  0  2 97  1  0  0
 2  1      0      0      0 15131492    0    0     0 463936 3332 1165  0  2 97  1  0  0
 2  1      0    512      0 15131170    0    0     0 467768 3302 1058  0  2 97  1  0  0
 0  2      0   1536      0 15129946    0    0     0 468568 3401 1104  0  2 97  1  0  0
 1  1      0      0      0 15131961    0    0     0 467568 3402 1153  0  2 97  1  0  0
 1  1      0    512      0 15131505    0    0     0 466900 3355 1170  0  2 97  1  0  0
 1  2      0   2816      0 15129318    0    0     0 465492 3446 1370  0  2 97  1  0  0
 2  1      0   2816      0 15129067    0    0     0 466796 3391 1058  0  2 97  1  0  0
 1  1      0   2304      0 15129459    0    0     0 467512 3403 1078  0  2 97  1  0  0
 2  0      0   2048      0 15129705    0    0     0 465976 3405 1146  0  2 97  1  0  0
 1  1      0    768      0 15130549    0    0     0 463144 3528 1184  0  2 97  1  0  0
 2  0      0   2560      0 15128877    0    0     0 464976 3387 1167  0  2 97  1  0  0
 1  1      0   2304      0 15129283    0    0     0 475140 3283 1082  0  2 97  1  0  0
 1  1      0    512      0 15131042    0    0     0 466948 3364 1227  0  2 97  1  0  0
 1  1      0 5356376      0 15128443    0    0     0 466948 3391 1056  0  3 97  0  0  0
 1  0      0 16188236      0 15128443    0    0     0 122880 1790  306  0  3 97  0  0  0
 1  0      0 14503756      0 15128443    0    0     0   104 1155  211  1  2 97  0  0  0
 1  0      0 12845900      0 15128443    0    0     0     0 1170  276  1  2 97  0  0  0
 1  0      0 11159628      0 15128443    0    0     0     0 1164  200  1  2 97  0  0  0
 1  0      0 9494072      0 15128443    0    0     0     0 1101  168  1  2 97  0  0  0
 1  1      0 7838776      0 15128443    0    0     0 327680 2781  511  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 6163000      0 15128443    0    0     0 467000 3555  772  1  2 97  0  0  0
 1  1      0 4502840      0 15128443    0    0     0 458752 3428  634  1  2 97  0  0  0
 1  1      0 2846264      0 15128443    0    0     0 450560 3483  717  1  2 97  0  0  0
 1  0      0 1166904      0 15128443    0    0     0 393276 3132  624  1  2 97  0  0  0
32  0      0    908      0 15128447    0    0     0     0 6167  884 17  2 81  0  0  0
32  0      0    908      0 15128447    0    0     0     0 29986 1148 92  0  8  0  0  0
32  0      0    908      0 15128447    0    0     0     0 30515  926 93  0  7  0  0  0
32  0      0    908      0 15128447    0    0     0     0 30883  760 95  0  5  0  0  0
19  0      0   2080      0 15128447    0    0     0     0 28156 1097 84  0 16  0  0  0
32  0      0    768      0 12590330    0    0     0    40 21096 3406 12 48 40  0  0  0
32  0      0   1536      0 10925697    0    0     0     0 31431 2662 63 30  7  0  0  0
