rocs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 2657012      0 20524997    0    0     0 454664 3335 1008  0  3 94  2  0  0
 0  2      0 11385412      0 20545478    0    0 20480 434232 3297  806  0  3 97  0  0  0
 0  1      0 10677828      0 20898838    0    0 353280 12284 2398 2567  0  2 97  1  0  0
 1  0      0 9934716      0 21269962    0    0 371200    76 2502 2814  0  2 97  1  0  0
 0  1      0 9192608      0 21640719    0    0 370432    68 2911 2916  0  2 96  1  0  0
 2  0      0 8282272      0 21901583    0    0 261120   152 2038 1885  0  2 97  1  0  0
 0  1      0 8573228      0 21950223    0    0 48384   156 1304  517  1  2 97  0  0  0
 0  2      0 8058668      0 22207247    0    0 257280 135180 2432 2316  0  1 97  2  0  0
 1  1      0 7833644      0 22319631    0    0 112128 303104 2533 1628  0  1 97  2  0  0
 1  1      0 7610412      0 22431091    0    0 111616 303208 2507 1618  0  1 97  2  0  0
 1  1      0 7379500      0 22546447    0    0 115200 294912 2501 1644  0  1 97  2  0  0
 0  2      0 7156524      0 22657807    0    0 111616 303104 2537 1671  0  1 97  2  0  0
 0  2      0 6935084      0 22768399    0    0 110592 294912 2450 1560  0  1 97  2  0  0
 1  1      0 6712972      0 22881254    0    0 112896 303184 2740 1908  0  1 97  2  0  0
 1  1      0 6487436      0 22993894    0    0 112384 303304 2493 1630  0  1 97  2  0  0
 1  2      0 6261388      0 23106790    0    0 113152 303104 2505 1703  0  1 97  2  0  0
 1  0      0 5755276      0 23278053    0    0 171264 172032 2300 1720  0  1 97  2  0  0
 1  0      0 5486636      0 23278053    0    0     0     0 1107  142  1  2 97  0  0  0
 1  0      0 5199660      0 23637221    0    0 359168   136 2435 2709  0  2 97  1  0  0
 1  0      0 4464684      0 24004325    0    0 367104    48 2453 2751  0  2 97  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3708460      0 24382181    0    0 377856     0 2431 2727  0  2 97  1  0  0
 1  0      0 2774828      0 24654565    0    0 272384     0 2072 1960  0  2 97  1  0  0
 0  1      0 3044536      0 24713957    0    0 59136     0 1305  557  1  2 97  0  0  0
 1  0      0 2294200      0 25088741    0    0 375040     0 2505 2811  0  2 97  1  0  0
 1  0      0 1535160      0 25467941    0    0 379136    36 2571 2799  0  2 97  1  0  0
 2  0      0 784056      0 25843173    0    0 375296    12 2466 2740  0  2 97  1  0  0
