procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 14754436      0 15970866    0    0 369920     0 2406 2768  0  2 97  1  0  0
 1  0      0 14007940      0 16343602    0    0 372480    60 2578 3003  0  2 97  1  0  0
 1  2      0 13651328      0 16521782    0    0 178176 227084 2665 2134  0  1 97  2  0  0
 0  2      0 13403260      0 16645686    0    0 124160 298224 2945 1983  0  1 97  2  0  0
 0  2      0 13140864      0 16776758    0    0 131072 286904 2892 2108  0  1 97  2  0  0
 0  2      0 12900992      0 16896566    0    0 119552 302744 2762 1886  0  1 97  2  0  0
 1  1      0 12664152      0 17014651    0    0 118016 303024 3249 2150  0  1 97  2  0  0
 0  2      0 12424024      0 17134715    0    0 120064 298688 2787 2103  0  1 97  2  0  0
 1  2      0 12192020      0 17252432    0    0 118016 299092 2839 2023  0  1 97  2  0  0
 1  0      0 11869204      0 17413712    0    0 161280 249772 2634 2026  0  1 97  2  0  0
 1  0      0 11135252      0 17780304    0    0 366592     0 2461 2874  0  2 97  1  0  0
 1  0      0 10430228      0 18132560    0    0 352000     4 2420 2928  0  2 97  1  0  0
 0  1      0 9719828      0 18487376    0    0 355072    88 2336 2857  0  2 97  1  0  0
 1  0      0 8994580      0 18849616    0    0 361984     0 2444 2924  0  2 97  1  0  0
 0  1      0 8232980      0 19230032    0    0 380672     0 2413 2792  0  2 97  1  0  0
 0  1      0 7527444      0 19582544    0    0 352256    24 2426 2965  0  2 97  1  0  0
 1  0      0 6821140      0 19935312    0    0 353024     0 2307 2820  0  2 97  1  0  0
 0  1      0 6101268      0 20294763    0    0 359168    76 2520 3063  0  2 97  1  0  0
 1  0      0 5287188      0 20701519    0    0 407040    72 2645 2918  0  2 97  1  0  0
 1  0      0 4562452      0 21063503    0    0 361728     0 2370 2812  0  2 97  1  0  0
 1  0      0 3854868      0 21417039    0    0 353536    28 2382 2941  0  2 97  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 3148820      0 21769563    0    0 352768     0 2414 3009  0  2 97  1  0  0
 1  0      0 2428948      0 22129231    0    0 359424     0 2391 2850  0  2 97  1  0  0
 0  1      0 1721108      0 22482767    0    0 353536     0 2372 2851  0  2 97  1  0  0
 1  0      0 1010452      0 22837695    0    0 355072     0 2333 2808  0  2 97  1  0  0
 1  0      0 140320      0 23134287    0    0 296704     0 2218 2385  0  2 97  1  0  0
 1  0      0   3840      0 22208833    0    0     0   120 1279 1022  1  2 97  0  0  0
 1  0      0   4864      0 21110208    0    0     0   144 1324 1201  1  2 97  0  0  0
 1  0      0   4608      0 20010339    0    0     0     0 1242 1147  1  2 97  0  0  0
 1  0      0   1024      0 18912616    0    0     0     0 1245 1248  1  2 97  0  0  0
 1  0      0   2304      0 17811839    0    0     0     8 1173 1121  1  2 97  0  0  0
 1  0      0   3584      0 16699618    0    0     0     4 1092  844  1  2 97  0  0  0
 1  0      0   3584      0 15592313    0    0     0    32 1131  932  1  2 97  0  0  0
 1  0      0 8315428      0 15189212    0    0 46284     0 1288  865  0  3 97  0  0  0
 2  0      0 7573028      0 15560489    0    0 370428    76 2377 2762  0  2 97  1  0  0
 0  1      0 6834468      0 15929824    0    0 368384     0 2405 2819  0  2 97  1  0  0
 1  0      0 6109220      0 16292534    0    0 361984     0 2494 2851  0  2 97  1  0  0
 1  1      0 5371684      0 16656013    0    0 362676    12 2493 3067  0  2 97  1  0  0
 1  0      0 4630052      0 17027016    0    0 370176    24 2466 3031  0  2 97  1  0  0
 1  0      0 3901476      0 17391370    0    0 363520     0 2346 2827  0  2 97  1  0  0
 0  1      0 3162660      0 17760856    0    0 368896     0 2444 2931  0  2 97  1  0  0
 1  0      0 2408484      0 18138022    0    0 376064     0 2485 2960  0  2 97  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1636388      0 18524188    0    0 385280    76 2542 3048  0  2 97  1  0  0
 1  0      0 901668      0 18891598    0    0 366592    12 2409 2892  0  2 97  1  0  0
 0  1      0 136228      0 19274336    0    0 381952    12 2414 2855  0  2 97  1  0  0
 0  1      0      0      0 19062648    0    0 346880     0 2429 2836  0  2 97  1  0  0
 0  1      0   1536      0 18711395    0    0 348928     0 2401 2731  0  2 97  1  0  0
 1  0      0   1024      0 18363564    0    0 347392     0 2490 2879  0  2 97  1  0  0
 1  0      0   4352      0 18020263    0    0 339456     0 2349 2730  0  2 97  1  0  0
 1  0      0   1536      0 17679761    0    0 343040     0 2444 2753  0  2 97  1  0  0
 0  1      0   1536      0 17330954    0    0 348160    12 2494 2978  0  2 97  1  0  0
 1  0      0   3328      0 16985693    0    0 342272     0 2419 2842  0  2 97  1  0  0
 0  1      0   2048      0 16632059    0    0 354304     0 2432 2766  0  2 97  1  0  0
 1  0      0   1024      0 16285390    0    0 347136     0 2591 3055  0  2 97  1  0  0
 2  0      0     84      0 15932140    0    0 353536     0 2437 2703  0  2 97  1  0  0
 1  0      0   3580      0 15567336    0    0 360448     0 2476 2715  0  2 97  1  0  0
 2  0      0   2300      0 15210544    0    0 357376    20 2419 2799  0  2 97  1  0  0
 1  0      0   2044      0 14198832    0    0 67328     0 1517 1564  1  2 97  0  0  0
 1  0      0    764      0 13031472    0    0     0     0 1110 1060  1  2 97  0  0  0
 1  0      0   2556      0 11868976    0    0     0     0 1151 1081  1  2 97  0  0  0
 1  0      0   1532      0 10707248    0    0     0     0 1092 1125  1  2 97  0  0  0
 1  0      0   2044      0 9550384    0    0     0    20 1147 1340  1  2 97  0  0  0
 1  0      0   1788      0 8399664    0    0     0     4 1118 1375  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0    508      0 7274055    0    0     0     0 1395 1795  1  2 97  0  0  0
 1  0      0 8354716      0 6738835    0    0     0     0 1347  807  0  3 97  0  0  0
 1  0      0 7182488      0 6738835    0    0     0     0 1312  350  1  2 97  0  0  0
 1  0      0 5943684      0 6738834    0    0     0     0 1243  328  1  2 97  0  0  0
 1  0      0 4697476      0 6738834    0    0     0    24 1166  236  1  2 97  0  0  0
 1  0      0 3448708      0 6738834    0    0     0     4 1140  197  1  2 97  0  0  0
 1  0      0 2195076      0 6738834    0    0     0     0 1151  248  1  2 97  0  0  0
 1  0      0 939908      0 6738834    0    0     0     0 1099  158  1  2 97  0  0  0
 1  0      0    256      0 6470499    0    0     0     0 1115  376  1  2 97  0  0  0
 1  0      0   1276      0 5400202    0    0     0     0 1163 1238  1  2 97  0  0  0
 1  0      0   1280      0 4339751    0    0     0   100 1247 1498  1  2 97  0  0  0
 2  0      0    216      0 3286467    0    0     0     4 1130 1522  1  2 97  0  0  0
 1  0      0    252      0 2264159    0    0     0     0 1218 1469  1  2 97  0  0  0
 1  0      0    256      0 1256008    0    0     0     0 1360 1725  1  2 97  0  0  0
 1  0      0      0      0 308341    0    0     0     0 1393 1653  1  2 97  0  0  0
 2  0      0     76      0  47081    0    0 96560    16 2062 2866  0  2 97  1  0  0
 1  0      0      0      0  46890    0    0 79332    16 2714 18628  0  2 97  1  0  0
 1  0      0 11366196      0  46882    0    0  2212     4 2195 9244  0  3 97  0  0  0
 1  0      0 28248844      0  46882    0    0     0     0 1164  256  0  3 97  0  0  0
 0  0      0 31912360      0  46882    0    0     0     0  466  354  0  1 99  0  0  0
 0  0      0 31911904      0  46882    0    0     0     0  242  223  0  0 100  0  0  0
